Token,Tag
hacerse,Spn
stand,Eng
out,Eng
o,Spn
speak,Eng
out,Eng
como,Spn
que,Spn
también,Spn
lo,Spn
hago.,Spn
Muchas,Spn
veces,Spn
en,Spn
el,Spn
trabajo,Spn
me,Spn
dicen,Spn
cuando,Spn
tenemos,Spn
así,Spn
conferencias,Spn
o,Spn
cosas,Spn
así,Spn
saben,Spn
que,Spn
siempre,Spn
soy,Spn
reservada,,Spn
callada,Spn
y,Spn
que,Spn
hablo,Spn
cuando,Spn
es,Spn
apropiado,Spn
y,Spn
comparto,Spn
cuando,Spn
es,Spn
apropiado.,Spn
>>i:,Spn
¿Hubo,Spn
algún,Spn
maestro,Spn
o,Spn
maestros,Spn
que,Spn
hayan,Spn
tenido,Spn
una,Spn
influencia,Spn
particularmente,Spn
fuerte,Spn
en,Spn
tu,Spn
vida?,Spn
>>s:,Spn
Uhm...la,Spn
mayoría,Spn
de,Spn
mis,Spn
maestros,Spn
de,Spn
alguna,Spn
u,Spn
otra,Spn
manera,Spn
influyeron.,Spn
Todos,,Spn
en,Spn
alguna,Spn
perspectiva,,Spn
todos,Spn
influyeron,Spn
en,Spn
algo,Spn
de,Spn
mi,Spn
vida,,Spn
de,Spn
mi,Spn
personalidad,Spn
y,Spn
de,Spn
mi,Spn
educación,,Spn
este...,Spn
Uno,Spn
de,Spn
los,Spn
que,Spn
recuerdo,Spn
mucho,Spn
fue,Spn
mi,Spn
maestro,Spn
de,Spn
middle,Eng
school,,Eng
y,Spn
de,Spn
hecho,Spn
no,Spn
fue,Spn
mi,Spn
maestro,,Spn
él,Spn
nada,Spn
más,Spn
me,Spn
daba,Spn
tutoría,Spn
para,Spn
que,Spn
aprendiera,Spn
el,Spn
inglés,Spn
mejor,Spn
y,Spn
él,Spn
me,Spn
influyó,Spn
mucho,Spn
en,Spn
el,Spn
sentido,Spn
de,Spn
salir,Spn
adelante,,Spn
de,Spn
seguir,Spn
estudiando,Spn
y,Spn
yo,Spn
sé,Spn
que,Spn
lo,Spn
hizo,Spn
hacia,Spn
todos,,Spn
no,Spn
nada,Spn
más,Spn
hacia,Spn
mí,,Spn
pero,Spn
se,Spn
me,Spn
quedó,Spn
muy,Spn
grabado,Spn
lo,Spn
que,Spn
nos,Spn
platicaba,,Spn
por,Spn
qué,Spn
era,Spn
bueno,Spn
ir,Spn
a,Spn
la,Spn
escuela,,Spn
por,Spn
qué,Spn
era,Spn
bueno,Spn
salir,Spn
adelante,,Spn
y,Spn
es,Spn
curioso,Spn
porque,Spn
hace,Spn
más,Spn
o,Spn
menos,Spn
una,Spn
semana,Spn
que,Spn
lo,Spn
vi,Spn
en,Spn
una...en,Spn
un,Spn
training,Eng
del,Spn
trabajo,,Spn
tuve,Spn
la,Spn
oportunidad,Spn
de,Spn
acercarme,Spn
a,Spn
él,Spn
y,Spn
darle,Spn
gracias,Spn
y,Spn
saludarlo.,Spn
>>i:,Spn
Qué,Spn
bien.,Spn
¿Tienes,Spn
alguna,Spn
historia,Spn
favorita,Spn
de,Spn
la,Spn
escuela?,Spn
>>s:,Spn
De,Spn
la,Spn
escuela...mmm...son,Spn
varias,,Spn
no,Spn
tengo,Spn
ninguna,Spn
en,Spn
particular.,Spn
Buenos,NamedEnt
tiempos,Spn
con,Spn
amigos.,Spn
Como,Spn
nos,Spn
divertíamos,,Spn
muchas,Spn
veces,,Spn
este...las,Spn
historias,Spn
favoritas,Spn
que,Spn
tengo,Spn
son,Spn
cosas,Spn
que,Spn
pasaron,Spn
en,Spn
el,Spn
mismo,Spn
salón,,Spn
no,Spn
fue,Spn
algo,Spn
fuera,,Spn
cosas,Spn
divertidas,Spn
que,Spn
estábamos,Spn
aprendiendo,Spn
y,Spn
hacíamos,,Spn
o...Pero,Spn
son,Spn
varias,,Spn
no,Spn
tengo,Spn
ninguna,Spn
en,Spn
particular.,Spn
>>i:,Spn
¿Puedes,Spn
terminar,Spn
esta,Spn
oración?,Spn
Fui,NamedEnt
la,Spn
primera,Spn
latina,Spn
en,Spn
mi,Spn
familia,Spn
o,Spn
persona,Spn
en,Spn
mi,Spn
familia,Spn
que...,Spn
>>s:,Spn
Que...que,Spn
ha,Spn
ido,Spn
a,Spn
la,Spn
universidad,,Spn
que,Spn
tiene,Spn
ahorita,Spn
una,Spn
carrera,Spn
en,Spn
educación,,Spn
que,Spn
tiene,Spn
a,Spn
la,Spn
mejor,Spn
aspiraciones...más,Spn
aspiraciones,Spn
de,Spn
salir,Spn
adelante,,Spn
¿qué,,Spn
qué,Spn
más,Spn
podría,Spn
decir?,Spn
Que,Spn
ha,Spn
viajado,Spn
un,Spn
poquito,Spn
más,Spn
de,Spn
mi,Spn
familia.,Spn
Y,Spn
la,Spn
primera,Spn
que,Spn
ha,Spn
convivido,Spn
con,Spn
gente,Spn
de,Spn
más,Spn
cultura,,Spn
de,Spn
más,Spn
de,Spn
otros,Spn
países,Spn
de,Spn
otras,Spn
culturas.,Spn
>>i:,Spn
¿Quién,Spn
ha,Spn
tenido,Spn
mayor,Spn
influencia,Spn
en,Spn
tu,Spn
vida,Spn
y,Spn
qué,Spn
has,Spn
aprendido,Spn
de,Spn
ellos?,Spn
>>s:,Spn
Okay,,Spn
este...muchas,Spn
personas,Spn
han,Spn
tenido,Spn
influencia,,Spn
pero,Spn
definitivamente,Spn
fue,Spn
mi,Spn
abuela,Spn
materna,Spn
y,Spn
ha,Spn
tenido,Spn
más,Spn
influencia,Spn
en,Spn
mi,Spn
vida,Spn
porque,Spn
ha...me,Spn
ayudó,Spn
mucho,Spn
a,Spn
tener,Spn
la,Spn
personalidad,,Spn
sus,Spn
enseñanzas,Spn
y,Spn
todo,,Spn
la,Spn
personalidad,Spn
que,Spn
tengo,Spn
hoy.,Spn
Y,Spn
también,Spn
fue,Spn
un,Spn
ejemplo,Spn
de,Spn
una,Spn
mujer,Spn
que,Spn
salió,Spn
adelante,Spn
por,Spn
sí,Spn
sola,Spn
y,Spn
que,Spn
sacó,Spn
a,Spn
muchos,Spn
miembros,Spn
de,Spn
su,Spn
familia,Spn
adelante,,Spn
entonces,Spn
fue,Spn
y,Spn
será,Spn
siendo,Spn
una,Spn
persona,Spn
muy,Spn
especial.,Spn
He,Spn
aprendido,Spn
mucho,Spn
de,Spn
ella,Spn
y,Spn
lo,Spn
que,Spn
más,Spn
he,Spn
aprendido,Spn
es,Spn
seguir,Spn
adelante,Spn
y,,Spn
aunque,Spn
seas,Spn
mujer,Spn
o,Spn
lo,Spn
que,Spn
sea,,Spn
ayudar,Spn
a,Spn
tu,Spn
familia,Spn
y,Spn
seguir,Spn
saliendo,Spn
adelante.,Spn
>>i:,Spn
¿De,Spn
qué,Spn
sientes,Spn
más,Spn
orgullo,Spn
en,Spn
tu,Spn
vida?,Spn
>>s:,Spn
Uhm...probablemente,Spn
de,Spn
todo,,Spn
mi,Spn
cultura,,Spn
mi,Spn
familia,,Spn
este...de,Spn
haber,Spn
podido,Spn
tener,Spn
las,Spn
experiencias,Spn
que,Spn
tengo,Spn
hasta,Spn
ahorita,,Spn
me,Spn
da,Spn
mucho,Spn
orgullo.,Spn
De,Spn
haber...de,Spn
tener,Spn
la,Spn
oportunidad,Spn
de,Spn
conocer,Spn
mucha,Spn
gente,Spn
muy,Spn
buena,Spn
en,Spn
diferentes,Spn
aspectos,Spn
y,Spn
sobre,Spn
todo,Spn
eso,,Spn
he,Spn
tenido,Spn
la,Spn
oportunidad,Spn
de,Spn
convivir,Spn
con,Spn
o,Spn
tener,Spn
dos,Spn
culturas,Spn
en,Spn
mí,,Spn
la,Spn
mexicana,Spn
y,Spn
la,Spn
americana,,Spn
y,Spn
entenderla,Spn
bien.,Spn
>>i:,Spn
¿Hasta,Spn
ahora,Spn
en,Spn
qué,,Spn
en,Spn
qué,Spn
ha,Spn
resultado,Spn
diferente,Spn
tu,Spn
vida,Spn
de,Spn
lo,Spn
que,Spn
habías,Spn
imaginado?,Spn
>>s:,Spn
Mmm...eh...me,Spn
había,Spn
imaginado,Spn
tener,Spn
una,Spn
vida,Spn
más,Spn
rutinaria,,Spn
más,Spn
común,,Spn
en,Spn
mi,Spn
familia,Spn
era,Spn
más,Spn
común,Spn
de,Spn
que,Spn
ibas,Spn
a,Spn
la,Spn
escuela,,Spn
estudiabas,,Spn
hacías,Spn
una,Spn
carrera,,Spn
te,Spn
casabas,,Spn
este...trabajabas,,Spn
tenías,Spn
hijos.,Spn
Eso,Spn
es,Spn
lo,Spn
que,Spn
he,Spn
observado,Spn
con,Spn
miembros,Spn
de,Spn
mi,Spn
familia.,Spn
En,Spn
lo,Spn
que,Spn
ha,Spn
sido,Spn
distinto,,Spn
es,Spn
de,Spn
que,Spn
las,Spn
cosas,Spn
las,Spn
estoy,Spn
haciendo,,Spn
pero,Spn
de,Spn
diferente,Spn
manera.,Spn
No...estoy,Spn
disfrutando,Spn
mi,Spn
carrera,,Spn
saliendo,Spn
adelante.,Spn
Y,,Spn
el,Spn
matrimonio,,Spn
o,Spn
esas,Spn
cosas,Spn
sí,Spn
están,Spn
en,Spn
mi,Spn
pensar,,Spn
pero,Spn
no,Spn
son,Spn
prioridad,Spn
ahorita,,Spn
en,Spn
lo,Spn
que,Spn
ha,Spn
cambiado.,Spn
>>i:,Spn
¿Te,Spn
arrepientes,Spn
de,Spn
algo?,Spn
>>s:,Spn
Mmm...en,Spn
realidad,Spn
no,,Spn
porque,Spn
no,Spn
fuera,Spn
la,Spn
persona,Spn
que,Spn
soy,Spn
ahorita.,Spn
Entonces,,Spn
si,Spn
me,Spn
arrepintiera,Spn
de,Spn
algo,Spn
quiere,Spn
decir,Spn
que,Spn
no,Spn
hice,Spn
algo,Spn
y,Spn
a,Spn
lo,Spn
mejor,Spn
no,Spn
aprendí,Spn
de,Spn
eso.,Spn
Entonces,Spn
no,Spn
me,Spn
arrepiento.,Spn
Este...todo,Spn
lo,Spn
que,Spn
me,Spn
ha,Spn
pasado,,Spn
las,Spn
experiencias,,Spn
la,Spn
gente,Spn
que,Spn
he,Spn
conocido,,Spn
todo,Spn
ha,Spn
sido,Spn
bueno,Spn
y,Spn
me,Spn
ha,Spn
ayudado,Spn
en,Spn
algo.,Spn
>>i:,Spn
Qué,Spn
bien.,Spn
¿Cómo,Spn
era,Spn
vivir,Spn
en,Spn
tu,Spn
país,Spn
de,Spn
origen,Spn
antes,Spn
de,Spn
venir,Spn
a,Spn
los,Spn
Estados,NamedEnt
Unidos?,Spn
>>s:,Spn
Mmm...era,Spn
muy,Spn
distinto,Spn
porque,Spn
la,Spn
gente,Spn
es,Spn
muy,Spn
distinta,,Spn
porque,Spn
las,Spn
tradiciones,Spn
son,Spn
muy,Spn
distintas.,Spn
Este...la,Spn
vida,Spn
es,Spn
de,Spn
una,Spn
manera,,Spn
se,Spn
podría,Spn
explicar,,Spn
más,Spn
tranquila,Spn
que,Spn
aquí.,Spn
Aquí,,Spn
este...la,Spn
mayoría,Spn
de,Spn
las,Spn
personas,Spn
trabajan,,Spn
la,Spn
mayoría,Spn
de,Spn
las,Spn
personas,Spn
estudian,,Spn
hay,Spn
más,,Spn
la,Spn
vida,Spn
es,Spn
como,Spn
que,Spn
más,Spn
rápida,Spn
y,Spn
tienen,Spn
muchas,Spn
cosas,Spn
que,Spn
hacer.,Spn
Este...recuerdo,Spn
que,Spn
cuando,Spn
era,Spn
pequeña,Spn
las,Spn
cosas,Spn
allá,Spn
son,Spn
más,Spn
tranquilas,Spn
en,Spn
el,Spn
sentido,Spn
que,Spn
uno,Spn
va,Spn
a,Spn
la,Spn
escuela,Spn
o,Spn
al,Spn
trabajo,,Spn
regresas,,Spn
tienes,Spn
tiempo,Spn
para,Spn
convivir,,Spn
descansas,,Spn
caminas,,Spn
la,Spn
gente,Spn
sale,Spn
más,Spn
a,Spn
caminar,,Spn
sale,Spn
más,Spn
a,,Spn
a,Spn
visitar,Spn
familia,,Spn
aquí,Spn
es,Spn
diferente,,Spn
uno,Spn
llega,Spn
ya,Spn
cansado,Spn
del,Spn
trabajo,,Spn
de,Spn
la,Spn
escuela,Spn
y,Spn
nada,Spn
más,Spn
lo,Spn
que,Spn
quiere,Spn
es,Spn
estar,Spn
en,Spn
su,Spn
casa,Spn
y,Spn
descansar.,Spn
Entonces,,Spn
allá,Spn
es,Spn
como,Spn
que,Spn
hay,Spn
mucho,Spn
más,Spn
movimiento,Spn
de,Spn
gente,,Spn
van,Spn
más,Spn
a,Spn
las,Spn
tiendas,,Spn
vas,Spn
más,Spn
con,Spn
tu,Spn
familia.,Spn
>>i:,Spn
¿Cómo,Spn
te,Spn
sentías,Spn
con,Spn
respecto,Spn
al,Spn
inglés,Spn
cuando,Spn
viniste,Spn
a,Spn
los,Spn
Estados,NamedEnt
Unidos?,Spn
>>s:,Spn
Mmm...al,Spn
principio,Spn
recuerdo,,Spn
tenía,Spn
más,Spn
o,Spn
menos,Spn
once,,Spn
doce,Spn
años,,Spn
y,Spn
no,Spn
me,Spn
había...,Spn
no,Spn
sabía,,Spn
no,,Spn
nunca,Spn
pensé,Spn
cómo,Spn
iba,Spn
a,Spn
ser.,Spn
Sabía,Spn
que,Spn
me,Spn
iba,Spn
a,Spn
venir,Spn
a,Spn
la,Spn
escuela,Spn
acá,,Spn
tenía...entendía,Spn
lo,Spn
básico,Spn
de,Spn
inglés,,Spn
muy,,Spn
muy,Spn
básico,,Spn
pero,Spn
no,Spn
me,Spn
ponía,Spn
a,Spn
pensar,Spn
cómo,Spn
era.,Spn
Cuando,Spn
ya,Spn
estuve,Spn
cierto,Spn
tiempo,Spn
aquí,,Spn
este...me,Spn
sentía,Spn
inconforme,Spn
porque,Spn
yo,Spn
sabía,Spn
que,Spn
podía,Spn
demostrar,Spn
que,Spn
era,Spn
otra,Spn
persona,Spn
que,Spn
sabía,Spn
más,,Spn
pero,Spn
no,Spn
lo,Spn
podía,Spn
comunicar,Spn
muchas,Spn
veces,Spn
por,Spn
el,Spn
idioma.,Spn
Entonces,,Spn
me,Spn
sentía,Spn
inconforme,,Spn
frustrada,Spn
en,Spn
cierto,Spn
punto,Spn
y,Spn
en,Spn
veces,Spn
triste,Spn
y,Spn
deprimida,Spn
de,Spn
no,Spn
poder,Spn
proyectar,Spn
por,Spn
la,Spn
culpa,Spn
a,Spn
la,Spn
mejor,Spn
del,Spn
idioma,,Spn
demostrar,Spn
lo,Spn
que,Spn
era,,Spn
lo,Spn
que,Spn
sabía.,Spn
>>i:,Spn
¿Qué,Spn
aspectos,Spn
de,Spn
la,Spn
vida,Spn
en,Spn
los,Spn
Estados,NamedEnt
Unidos,Spn
te,Spn
han,Spn
dejado,Spn
la,Spn
mejor,Spn
impresión?,Spn
>>s:,Spn
Este...mmm...varias,Spn
cosas,,Spn
pero,Spn
me,Spn
ha,Spn
tocado,Spn
conocer,Spn
gente,Spn
muy,Spn
interesante,,Spn
que,Spn
es,Spn
amigable,,Spn
que,Spn
les,Spn
gusta,Spn
viajar,,Spn
salir,Spn
adelante,,Spn
entonces,Spn
mucho,Spn
la,Spn
gente,Spn
y,Spn
en,Spn
sí,Spn
lo,Spn
que,Spn
me,Spn
ha,Spn
dejado,Spn
mejor,Spn
impresión,Spn
es,Spn
de,Spn
que,Spn
es,Spn
un,Spn
país,Spn
lleno,Spn
de,Spn
diferentes,Spn
culturas,Spn
y,Spn
también,Spn
que,Spn
son,Spn
un,Spn
país,Spn
que,Spn
tiene,Spn
gente,Spn
que,Spn
entiende,Spn
mucho,Spn
a,Spn
los,Spn
demás,,Spn
en,Spn
ciertos,Spn
aspectos,,Spn
y,Spn
que,Spn
puede...eres,Spn
libre,Spn
de,,Spn
de,Spn
tratar,Spn
de,Spn
hacer,Spn
tus,Spn
sueños,Spn
y,Spn
no,Spn
vas,Spn
a,Spn
ser,Spn
juzgado,Spn
por,Spn
ciertas,Spn
normas,Spn
o,Spn
ciertos,Spn
tradiciones,Spn
de,Spn
tu,,Spn
de,Spn
tu,Spn
país.,Spn
>>i:,Spn
¿Qué,Spn
esfuerzos,Spn
has,Spn
hecho,Spn
para,Spn
conservar,Spn
tus,Spn
tradiciones,Spn
culturales,Spn
en,Spn
este,Spn
país?,Spn
>>s:,Spn
Mmm...esfuerzos,,Spn
yo,Spn
misma,,Spn
este,,Spn
seguir,Spn
con,Spn
las,Spn
tradiciones,Spn
yo,Spn
misma,,Spn
si,Spn
es,Spn
una,Spn
fecha,Spn
en,Spn
especial,Spn
yo,Spn
misma,Spn
dar,Spn
el,Spn
ejemplo,Spn
a,Spn
lo,Spn
mejor,Spn
a,Spn
mis,Spn
hermanos,Spn
más,Spn
chicos,Spn
de,Spn
hacer,Spn
las,Spn
cosas.,Spn
Este...también,Spn
de,Spn
platicar,Spn
con,Spn
mis,Spn
hermanos,Spn
y...y,Spn
recordarles.,Spn
Entonces,,Spn
motivar,Spn
a,Spn
mi,Spn
familia,Spn
en,Spn
lo,Spn
que,Spn
ellos,Spn
también,,Spn
de,Spn
que,Spn
no,Spn
se,Spn
nos,Spn
olviden,Spn
las,Spn
cosas,Spn
que,Spn
a,Spn
lo,Spn
mejor,Spn
hacíamos.,Spn
Y,Spn
lo,Spn
bueno,Spn
es,Spn
que,Spn
es,Spn
muy,Spn
similar,,Eng
porque,Spn
es,Spn
frontera,Spn
mucha,Spn
gente,Spn
